0,1
YHR137W,
YDR127W,
YPL091W,YDR098C
YHR163W,
YIR027C,
YLR351C,
YDR452W,
YFL061W,
YDR533C,
YPL023C,
YGR209C,
YCR105W,
YKL127W,
YPL212C,
YDR380W,
YDR368W,
YHR063C,
YHR044C,
YGL125W,
YNL229C,
YOR393W,
YNR050C,
YLR286C,
YLR174W,
YGR254W,
YDR272W,
YHR007C,YHR042W
YDR371W,
YMR323W,
YFL001W,
YFR044C,
YPL091W,YER174C
YFL060C,
YLR056W,
YPL061W,
YDR353W,YLR043C
YGR043C,
YHR043C,
YKL069W,
YOR384W,
YHR201C,
YMR278W,
YIR036C,
YJL026W,
YFL059W,
YJR149W,
YGR060W,
YDR044W,
YGL040C,
YOR095C,
YEL031W,
YMR322C,
YGR209C,YDR453C
YDL236W,
YMR318C,
YDR353W,YGR209C
YMR120C,
YGL026C,
YNL045W,
YKL060C,
YHR183W,
YDR513W,
YBR022W,
YGL063W,
YLR410W,
YNL280C,
YGL001C,
YDL174C,
YKL026C,
YLR450W,
YBR166C,
YLR047C,
YOR323C,
YLL015W,
YLR011W,
YIR037W,
YNL334C,
YJR069C,
YLR028C,
YJR049C,
YBR046C,
YDR017C,
YNL335W,
YOR163W,
YML075C,
YML082W,
YEL039C,
YOL075C,
YOR381W,
YPR074C,
YNR060W,
YNL036W,
YDR135C,
YGL169W,
YOR120W,
YJR139C,
YNL333W,
YGR180C,
YJL126W,
YLR100W,
YLR043C,YDR453C
YHR174W,
YDL024C,
YMR251W,
YBR006W,
YOR278W,
YAL062W,
YDR051C,
YJL068C,
YLL058W,
YGR088W,
YDR353W,
YPL280W,
YOL143C,
YMR226C,
YNL316C,
YJR048W,
YCL035C,YPL091W
YGR248W,
YBR111C,
YDL219W,
YDR242W,
YMR110C,
YPL281C,
YGR144W,
YBL098W,
YLR420W,
YGR234W,
YBR145W,
YLR214W,
YGL148W,
YDR403W,YDR402C
YFR053C,
YOL152W,
YPL262W,
YOL151W,
YCR036W,
YLL051C,
YKL211C,
YJR137C,YFR030W
YIL066C,
YCL035C,
YBR117C,
YNL292W,
YPR060C,
YIR029W,
YGL154C,YBR115C
YER023W,
YNL241C,
YDR305C,
YBR249C,
YER070W,
YOL157C,
YEL071W,
YHR104W,
YPL091W,YDR513W
YOR236W,
YGR204W,
YOR202W,
YML004C,
YOR375C,
YER042W,
YJR024C,
YGR194C,
YLR354C,
YGL009C,
YOL086C,
YMR087W,
YDR158W,
YGR155W,
YKR076W,
YMR105C,
YBR244W,
YHR144C,
YDL168W,
YLR304C,
YBR149W,
YDR035W,
YLR058C,
YMR015C,
YPL231W,YKL182W
YOR391C,
YHR190W,
YJL121C,
YOL049W,
YGL202W,
YDR248C,
YKL220C,
YBR153W,
YPR127W,
YEL041W,
YGR256W,
